,loss,out1_accuracy,out1_loss,out2_accuracy,out2_loss,val_loss,val_out1_accuracy,val_out1_loss,val_out2_accuracy,val_out2_loss
0,0.7506051659584045,0.8343185782432556,0.7235159277915955,0.8005656599998474,0.7706614136695862,2.675212860107422,0.4256424009799957,2.332689046859741,0.33530306816101074,2.901031255722046
1,0.34941336512565613,0.9196513295173645,0.2970200777053833,0.8934325575828552,0.3870766758918762,2.039602518081665,0.5626286864280701,1.5300160646438599,0.40791475772857666,2.3748106956481934
2,0.2675201892852783,0.9373160004615784,0.21925708651542664,0.9152699708938599,0.2995750904083252,1.6593282222747803,0.6309427618980408,1.2421668767929077,0.4832124710083008,1.9356632232666016
3,0.21861489117145538,0.9489765167236328,0.18192727863788605,0.93149733543396,0.24307779967784882,1.3282424211502075,0.6722177267074585,1.0994466543197632,0.5710448622703552,1.4809107780456543
4,0.19069482386112213,0.9544010758399963,0.16251400113105774,0.9401209950447083,0.21178552508354187,1.194303274154663,0.7051661014556885,0.9669985771179199,0.6021130084991455,1.3431718349456787
5,0.1762680858373642,0.955583393573761,0.15342356264591217,0.944293737411499,0.1940755546092987,1.133168339729309,0.7223564982414246,0.9105667471885681,0.6263765692710876,1.2790398597717285
6,0.16219645738601685,0.9599647521972656,0.13891491293907166,0.9482114911079407,0.17779842019081116,1.034191370010376,0.7333691716194153,0.8566246628761292,0.6547586917877197,1.1502587795257568
7,0.149678573012352,0.9617729783058167,0.1327909231185913,0.9529638290405273,0.16269095242023468,0.9793523550033569,0.7673918604850769,0.7349436283111572,0.6602202653884888,1.1401032209396362
8,0.14218202233314514,0.9627466201782227,0.12897071242332458,0.9561861157417297,0.15209636092185974,0.9739764332771301,0.7679290771484375,0.7511771321296692,0.6612946391105652,1.1207685470581055
9,0.1319013237953186,0.964995265007019,0.11871710419654846,0.9595938324928284,0.14128415286540985,0.8957161903381348,0.7735697031021118,0.7267194390296936,0.6996150016784668,1.0087467432022095
10,0.1265811324119568,0.9674525260925293,0.11461008340120316,0.9618192911148071,0.1347675919532776,0.834878146648407,0.7923717498779297,0.6644896864891052,0.707583487033844,0.9466055035591125
11,0.12035965919494629,0.9671511650085449,0.11080620437860489,0.9619352221488953,0.12762826681137085,0.8752312064170837,0.798012375831604,0.6341055035591125,0.6877965927124023,1.0340371131896973
12,0.11312875896692276,0.9699793457984924,0.10300932824611664,0.9649025201797485,0.120085708796978,0.7820829153060913,0.8033843636512756,0.6231173872947693,0.734801709651947,0.8863240480422974
13,0.10784613341093063,0.9710225462913513,0.10069496184587479,0.9666411876678467,0.11260341107845306,0.756243109703064,0.8135016560554504,0.5890033841133118,0.7312203645706177,0.8660778403282166
14,0.10324455052614212,0.9710921049118042,0.09618621319532394,0.9672207236289978,0.10791829228401184,0.7744762301445007,0.8133226037025452,0.5992110967636108,0.7228937149047852,0.8895893096923828
